"Id","ProcessName","Path","CPU","WorkingSet"
"1044","csrss",,,"2600960"
"1204","csrss",,,"4927488"
"10940","ctfmon",,"50,328125","17375232"
"9748","dasHost",,,"73728"
"25252","dasHost",,,"1507328"
"26400","DataExchangeHost","C:\Windows\System32\DataExchangeHost.exe","1,03125","7421952"
"4152","dllhost","C:\WINDOWS\system32\DllHost.exe","0,078125","1404928"
"1752","dwm",,,"75264000"
"8080","explorer","C:\WINDOWS\Explorer.EXE","601,375","283242496"
"10508","FileCoAuth","C:\Users\StabX\AppData\Local\Microsoft\OneDrive\26.062.0402.0002_1\FileCoAuth.exe","0,25","2519040"
"1536","fontdrvhost",,,"188416"
"1544","fontdrvhost",,,"2359296"
"3436","GetHelp","C:\Program Files\WindowsApps\Microsoft.GetHelp_10.2409.41132.0_x64__8wekyb3d8bbwe\GetHelp.exe","617,21875","126136320"
"6456","GoogleDriveFS","C:\Program Files\Google\Drive File Stream\124.0.3.0\GoogleDriveFS.exe","101,84375","45395968"
"8812","GoogleDriveFS","C:\Program Files\Google\Drive File Stream\124.0.3.0\GoogleDriveFS.exe","0,09375","90112"
"0","Idle",,,"8192"
"6880","language_server_windows_x64","c:\Ai Stab\progi\Antigravitsha\resources\app\extensions\antigravity\bin\language_server_windows_x64.exe","148,234375","289144832"
"7388","language_server_windows_x64","c:\Ai Stab\progi\Antigravitsha\resources\app\extensions\antigravity\bin\language_server_windows_x64.exe","2251","1599201280"
"20292","language_server_windows_x64","c:\Ai Stab\progi\Antigravitsha\resources\app\extensions\antigravity\bin\language_server_windows_x64.exe","142,703125","295116800"
"26396","language_server_windows_x64","c:\Ai Stab\progi\Antigravitsha\resources\app\extensions\antigravity\bin\language_server_windows_x64.exe","93,71875","291143680"
"27300","language_server_windows_x64","c:\Ai Stab\progi\Antigravitsha\resources\app\extensions\antigravity\bin\language_server_windows_x64.exe","182,921875","289562624"
"17376","Lightshot","C:\Program Files (x86)\Skillbrains\lightshot\5.5.0.7\Lightshot.exe","0,484375","757760"
"1364","LsaIso",,,"1163264"
"1372","lsass",,,"15339520"
"12540","M365Copilot","C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_19.2605.31031.0_x64__8wekyb3d8bbwe\M365Copilot.exe","30,5625","24727552"
"3568","Memory Compression",,,"350904320"
"4624","MpDefenderCoreService",,,"13164544"
"3256","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","1,140625","3448832"
"6820","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","24,640625","40927232"
"11912","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","1,515625","6402048"
"15252","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","0,15625","749568"
"16552","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","8,3125","20414464"
"1312","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","22,140625","61661184"
"10372","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","32,796875","42827776"
"10532","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","0,125","987136"
"10920","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","24,78125","23433216"
"11116","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","3,890625","29999104"
"11136","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","3,546875","4964352"
"11208","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","22,78125","39596032"
"11456","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","11,546875","561152"
"13344","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","0,15625","1908736"
"13580","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","9,09375","133672960"
"13592","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","7,296875","19705856"
"13620","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","0,984375","3780608"
"13848","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","6,640625","47136768"
"16436","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","15,359375","13877248"
"16468","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","0,09375","978944"
"16724","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","7,65625","4427776"
"16744","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","4,578125","8634368"
"16780","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","0,515625","90112"
"20504","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","1,171875","0"
"20524","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","64,265625","3166208"
"21232","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","17,6875","10743808"
"21260","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","0,09375","745472"
"21436","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","19,59375","31629312"
"21448","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","8,5625","4952064"
"21880","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.98\msedgewebview2.exe","0,890625","2375680"
